# SAE J2012 / ISO 15031-6 Standard DTC Descriptions
# Format: CODE,Description
# Lines beginning with # are ignored.
# To localize, add a dtc-descriptions.{locale}.csv alongside this file (e.g. dtc-descriptions.es.csv).
# Manufacturer-specific codes (P1xxx, C1xxx, B1xxx, U1xxx) vary by OEM and are not listed here.

# ── P01xx — Fuel & Air Metering ───────────────────────────────────────────────
P0100,Mass Air Flow Sensor Circuit
P0101,Mass Air Flow Sensor Range/Performance
P0102,Mass Air Flow Sensor Low Input
P0103,Mass Air Flow Sensor High Input
P0104,Mass Air Flow Sensor Intermittent
P0105,MAP/BARO Sensor Circuit
P0106,MAP Sensor Range/Performance
P0107,MAP Sensor Low Input
P0108,MAP Sensor High Input
P0110,Intake Air Temperature Sensor Circuit
P0111,Intake Air Temperature Sensor Range/Performance
P0112,Intake Air Temperature Sensor Low Input
P0113,Intake Air Temperature Sensor High Input
P0115,Engine Coolant Temperature Sensor Circuit
P0116,Engine Coolant Temperature Sensor Range/Performance
P0117,Engine Coolant Temperature Sensor Low Input
P0118,Engine Coolant Temperature Sensor High Input
P0120,Throttle Position Sensor Circuit
P0121,Throttle Position Sensor Range/Performance
P0122,Throttle Position Sensor Low Input
P0123,Throttle Position Sensor High Input
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control
P0128,Coolant Thermostat Below Regulating Temperature
P0130,O2 Sensor Circuit (Bank 1 Sensor 1)
P0131,O2 Sensor Low Voltage (Bank 1 Sensor 1)
P0132,O2 Sensor High Voltage (Bank 1 Sensor 1)
P0133,O2 Sensor Slow Response (Bank 1 Sensor 1)
P0134,O2 Sensor No Activity (Bank 1 Sensor 1)
P0135,O2 Sensor Heater Circuit (Bank 1 Sensor 1)
P0136,O2 Sensor Circuit (Bank 1 Sensor 2)
P0137,O2 Sensor Low Voltage (Bank 1 Sensor 2)
P0138,O2 Sensor High Voltage (Bank 1 Sensor 2)
P0139,O2 Sensor Slow Response (Bank 1 Sensor 2)
P0140,O2 Sensor No Activity (Bank 1 Sensor 2)
P0141,O2 Sensor Heater Circuit (Bank 1 Sensor 2)
P0150,O2 Sensor Circuit (Bank 2 Sensor 1)
P0151,O2 Sensor Low Voltage (Bank 2 Sensor 1)
P0152,O2 Sensor High Voltage (Bank 2 Sensor 1)
P0153,O2 Sensor Slow Response (Bank 2 Sensor 1)
P0154,O2 Sensor No Activity (Bank 2 Sensor 1)
P0155,O2 Sensor Heater Circuit (Bank 2 Sensor 1)
P0156,O2 Sensor Circuit (Bank 2 Sensor 2)
P0157,O2 Sensor Low Voltage (Bank 2 Sensor 2)
P0158,O2 Sensor High Voltage (Bank 2 Sensor 2)
P0159,O2 Sensor Slow Response (Bank 2 Sensor 2)
P0160,O2 Sensor No Activity (Bank 2 Sensor 2)
P0161,O2 Sensor Heater Circuit (Bank 2 Sensor 2)
P0170,Fuel Trim Malfunction (Bank 1)
P0171,System Too Lean (Bank 1)
P0172,System Too Rich (Bank 1)
P0173,Fuel Trim Malfunction (Bank 2)
P0174,System Too Lean (Bank 2)
P0175,System Too Rich (Bank 2)

# ── P02xx — Fuel & Air Metering / Injectors ───────────────────────────────────
P0200,Injector Circuit Malfunction
P0201,Injector Circuit – Cylinder 1
P0202,Injector Circuit – Cylinder 2
P0203,Injector Circuit – Cylinder 3
P0204,Injector Circuit – Cylinder 4
P0205,Injector Circuit – Cylinder 5
P0206,Injector Circuit – Cylinder 6
P0207,Injector Circuit – Cylinder 7
P0208,Injector Circuit – Cylinder 8
P0217,Engine Overtemperature
P0218,Transmission Over Temperature
P0230,Fuel Pump Primary Circuit
P0231,Fuel Pump Secondary Circuit Low
P0232,Fuel Pump Secondary Circuit High

